"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gnas",3.00401197416407e-158,1.85931826348053,1,1,9.69845265858871e-154
"Olfm1",6.18010325568972e-146,2.89058134561755,0.997,0.912,1.99524633609943e-141
"Basp1",1.21427149217756e-130,2.37790628689126,0.984,0.901,3.92027551249524e-126
"Snap25",6.3468978625425e-125,2.03939591703795,1,0.994,2.04909597492184e-120
"Tubb2a",2.91254513316691e-123,1.92185990507079,1,0.956,9.40315196242937e-119
"Sncb",1.09910406839308e-121,2.18865984768322,0.997,0.884,3.54845748480706e-117
"Vsnl1",3.6615362970385e-118,2.75242568834806,0.991,0.796,1.18212699349888e-113
"Syp",8.01895244301069e-118,2.15920743168042,1,0.856,2.588918796226e-113
"Cck",3.93505888631641e-117,3.10302285214398,0.981,0.818,1.27043376144725e-112
"Dnm1",4.69381540731414e-114,1.88688552246911,0.997,0.95,1.51539830425137e-109
"Gng3",3.02827279072503e-110,1.98229196571476,0.994,0.901,9.77677870485577e-106
"Stmn3",9.79547255343504e-110,1.83066328651041,1,0.945,3.1624683138765e-105
"Tuba1b",3.1296348797667e-107,1.63856086861883,1,0.972,1.01040262093268e-102
"Ywhah",8.02326122028997e-107,1.994532462011,1,0.967,2.59030988497062e-102
"Syt1",5.94909009629827e-104,1.95987855264423,1,0.923,1.9206637375899e-99
"Ywhag",7.93569414933872e-104,1.86600634653858,0.997,0.878,2.562038856114e-99
"Ttr",1.94476776702084e-103,-4.34497158107336,0.937,0.972,6.27868273582678e-99
"Cox8a",1.43153815319926e-102,1.31720815164668,1,1,4.62172092760381e-98
"Atp1b1",3.80299135414509e-101,1.67916158912383,1,0.989,1.22779575868574e-96
"Stxbp1",1.8370892523631e-100,1.94356517861529,0.997,0.895,5.93104265125428e-96
"Slc17a7",3.33366928410394e-99,3.11675328870835,0.944,0.718,1.07627512837296e-94
"Stmn1",1.10660276389114e-98,1.99819858460918,0.997,0.989,3.57266702322255e-94
"Atp6v0c",1.98148678691133e-97,1.46698691608202,1,0.983,6.39723009154321e-93
"Vamp2",2.88368889069481e-97,1.67096754926079,1,0.972,9.30998958360818e-93
"Stmn2",1.06053086189108e-92,2.26117638853962,0.978,0.834,3.42392388761536e-88
"Klc1",1.91433596095859e-92,1.61853238812501,1,0.945,6.18043364995481e-88
"Prkar1b",1.04907794721683e-91,2.11899694039415,0.987,0.834,3.38694815258952e-87
"Snrpn",7.89384274513274e-88,1.57297170269818,1,0.972,2.54852713026611e-83
"Rab3a",8.48158629492504e-88,1.56316108146461,1,0.956,2.73828013531655e-83
"Syn1",1.75501173732203e-87,1.98853349602952,0.991,0.84,5.66605539394417e-83
"Tuba1a",2.35892441802486e-87,1.23925945780678,1,1,7.61578748359327e-83
"Ppia",6.50783805467046e-87,1.2563281257489,1,1,2.10105551595036e-82
"Dlgap1",8.78349094826683e-87,2.43307007401991,0.972,0.635,2.83575005264794e-82
"Snhg11",1.92768778064476e-86,1.84664372553388,1,0.867,6.2235399998116e-82
"Sparcl1",2.01040166205893e-86,1.22286982684143,1,0.994,6.49058176595727e-82
"Cpe",2.05603553692507e-86,1.05175736451341,1,1,6.6379107309626e-82
"Rtn3",1.11903364323859e-84,1.50961390449635,1,0.983,3.61280011719577e-80
"Map1b",3.52795499134801e-83,1.68170888149879,0.997,0.89,1.13900026895671e-78
"Serpini1",5.77651734283283e-83,2.75586771472411,0.966,0.519,1.86494862413358e-78
"Atp6v1g2",1.5466965017426e-80,1.74194019335682,0.997,0.89,4.99350965587597e-76
"Ncald",3.52862122173795e-80,2.73059886757193,0.947,0.602,1.1392153614381e-75
"Prnp",3.88901638905329e-80,1.35235827476065,1,0.967,1.25556894120586e-75
"Pcsk1n",3.88201483761424e-79,1.29340157354132,1,0.994,1.25330849032376e-74
"Hspa8",6.90427236440491e-79,1.21962690915213,1,1,2.22904433284813e-74
"Ndfip1",2.5035237171367e-78,1.4486429696851,1,0.994,8.08262632077583e-74
"Nsf",1.19885204261461e-77,1.67618590256349,1,0.917,3.87049381958126e-73
"Atp6v1a",2.71387798508179e-77,1.74209433567663,1,0.829,8.76175507483655e-73
"Hpcal4",8.69043745345849e-77,2.16956806374711,0.962,0.729,2.80570773184907e-72
"Gapdh",8.95355838571195e-77,1.18714859190249,1,1,2.8906563248271e-72
"Ttc3",1.66579611995764e-76,1.45072858445588,1,0.923,5.37802277328324e-72
"Faim2",1.78458932141739e-76,1.84758313473393,0.984,0.823,5.76154662419605e-72
"Pgam1",7.81465880133902e-76,1.43880473799469,1,0.961,2.5229625940123e-71
"Snap91",1.53033859791992e-75,2.07624799354635,0.981,0.624,4.94069816338445e-71
"Tcf25",1.62813707386369e-75,1.5922976776788,0.991,0.934,5.25644054296894e-71
"Tagln3",3.15790613976186e-75,1.77965003623694,0.987,0.873,1.01952999722212e-70
"Gnb1",4.42898597425713e-74,1.40094945605242,1,0.956,1.42989812178891e-69
"Clstn1",7.2540054264178e-74,1.74846058498054,1,0.945,2.34195565191899e-69
"Camk2a",7.83011379481766e-74,2.08965663217153,0.972,0.834,2.52795223865688e-69
"Atp1a3",8.02277051578847e-74,1.47924668496453,1,0.956,2.59015146102231e-69
"Pak1",1.41057219685273e-73,2.1360477345177,0.975,0.757,4.55403233753904e-69
"Scn1b",1.55860881329634e-73,2.01769067194543,0.984,0.89,5.03196855372724e-69
