Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000061808,Ttr,Gene Expression,0.8669423553977151,0.0,0.0,155134,57.68692638591455,2584
ENSMUSG00000068696,Gpr88,Gene Expression,0.8116735266907487,0.0,0.0,13983,5.124869547973607,1705
ENSMUSG00000045573,Penk,Gene Expression,0.7908487443761748,0.0,0.0,33318,12.06127512712447,2343
ENSMUSG00000053310,Nrgn,Gene Expression,0.7855736318023155,0.0,0.0,121381,36.97204155955662,2738
ENSMUSG00000032532,Cck,Gene Expression,0.7822286528148377,0.0,0.0,49413,14.790251907681196,2624
ENSMUSG00000001023,S100a5,Gene Expression,0.7816489540990077,0.0,0.0,4077,2.39230111131017,622
ENSMUSG00000061718,Ppp1r1b,Gene Expression,0.7784646331444418,0.0,0.0,25057,9.116300905438464,2360
ENSMUSG00000041607,Mbp,Gene Expression,0.7701897945963223,0.0,0.0,158282,77.8061792090275,2822
ENSMUSG00000070570,Slc17a7,Gene Expression,0.7675033612255451,0.0,0.0,34271,10.003784891932007,2467
ENSMUSG00000003657,Calb2,Gene Expression,0.7660139359040113,0.0,0.0,6106,2.4672879042913034,1178
ENSMUSG00000115783,Bc1,Gene Expression,0.7610968689839808,0.0,0.0,2923057,1082.8617425048067,2823
ENSMUSG00000024871,Doc2g,Gene Expression,0.7474213844302215,0.0,0.0,4078,1.6536547028716435,942
ENSMUSG00000024661,Fth1,Gene Expression,0.7457819323524896,0.0,0.0,282793,117.72674493764146,2823
ENSMUSG00000023868,Pde10a,Gene Expression,0.7371007592497212,0.0,0.0,10472,3.789397038748791,1844
ENSMUSG00000020599,Rgs9,Gene Expression,0.7281580087751242,0.0,0.0,5685,2.08348380242598,1332
ENSMUSG00000061762,Tac1,Gene Expression,0.7170425842392925,0.0,0.0,9901,3.2733175522496087,1593
ENSMUSG00000021303,Gng4,Gene Expression,0.7093963508922453,0.0,0.0,6674,2.1867083484345295,1529
ENSMUSG00000046480,Scn4b,Gene Expression,0.7071239032534233,0.0,0.0,7130,2.5976190562190498,1581
ENSMUSG00000067879,Vxn,Gene Expression,0.7070203790694218,0.0,0.0,9855,2.7866216989204005,1703
ENSMUSG00000021803,Cdhr1,Gene Expression,0.7061899917304508,0.0,0.0,2864,1.1090020604852873,787
ENSMUSG00000032517,Mobp,Gene Expression,0.7032652466683954,0.0,0.0,29799,15.270709153772634,2630
ENSMUSG00000090223,Pcp4,Gene Expression,0.7022336232677859,0.0,0.0,95110,31.58495170646416,2783
ENSMUSG00000026833,Olfm1,Gene Expression,0.6955347729728106,0.0,0.0,58000,17.091620576724505,2742
ENSMUSG00000028785,Hpca,Gene Expression,0.6927846092732872,0.0,0.0,28341,9.355161943945504,2486
ENSMUSG00000020178,Adora2a,Gene Expression,0.6868996514701947,0.0,0.0,2982,1.1168254819495294,946
ENSMUSG00000046447,Camk2n1,Gene Expression,0.6853786956241606,0.0,0.0,85970,27.82824714777954,2801
ENSMUSG00000019874,Fabp7,Gene Expression,0.6683506699090528,0.0,0.0,8625,4.2467840233346745,1934
ENSMUSG00000064351,mt-Co1,Gene Expression,0.6675861155795961,0.0,0.0,1934129,687.2723100857588,2823
ENSMUSG00000024617,Camk2a,Gene Expression,0.6670501918057551,0.0,0.0,29771,9.428620613744817,2594
ENSMUSG00000031425,Plp1,Gene Expression,0.6670166706361617,0.0,0.0,82540,43.56870238162547,2779
ENSMUSG00000064357,mt-Atp6,Gene Expression,0.6498409371346229,0.0,0.0,1573732,560.1694658312706,2823
ENSMUSG00000064358,mt-Co3,Gene Expression,0.6475207574769789,0.0,0.0,1704710,604.5156543016938,2823
ENSMUSG00000022489,Pde1b,Gene Expression,0.6433969392328512,0.0,0.0,16380,5.822393216140324,2436
ENSMUSG00000048240,Gng7,Gene Expression,0.6427489277322801,0.0,0.0,6508,2.367091631956737,1747
ENSMUSG00000039114,Nrn1,Gene Expression,0.6421231646472705,0.0,0.0,8827,2.507494708127757,1760
ENSMUSG00000090291,Lrrc10b,Gene Expression,0.6420679633787088,0.0,0.0,2696,0.997925191516825,932
ENSMUSG00000032259,Drd2,Gene Expression,0.6414963323664281,0.0,0.0,2305,0.8734969371426944,837
ENSMUSG00000038370,Pcp4l1,Gene Expression,0.6359441028901772,0.0,0.0,17240,6.179302431221111,2480
ENSMUSG00000022421,Nptxr,Gene Expression,0.6341607934000347,0.0,0.0,16520,4.782849740311843,2279
ENSMUSG00000022840,Adcy5,Gene Expression,0.6338542487420706,0.0,0.0,10677,3.873356648606308,2202
ENSMUSG00000064370,mt-Cytb,Gene Expression,0.631655859900463,0.0,0.0,860884,305.22079001070745,2823
ENSMUSG00000064354,mt-Co2,Gene Expression,0.6309689611988278,0.0,0.0,1228582,440.9220515133819,2823
ENSMUSG00000054459,Vsnl1,Gene Expression,0.6299355804424636,0.0,0.0,30285,8.87212878633405,2610
ENSMUSG00000071234,Syndig1l,Gene Expression,0.6289041788080366,0.0,0.0,3020,1.186775304074286,1089
ENSMUSG00000000214,Th,Gene Expression,0.6282074522747052,0.0,0.0,1626,0.6694590834767191,599
ENSMUSG00000021478,Drd1,Gene Expression,0.6236981055180733,0.0,0.0,2538,0.8995087557842794,953
ENSMUSG00000064341,mt-Nd1,Gene Expression,0.6157363472653811,0.0,0.0,560210,197.6965795122531,2823
ENSMUSG00000034472,Rasd2,Gene Expression,0.6138280780039769,0.0,0.0,8377,3.0405297980365686,2010
ENSMUSG00000096883,Shisa8,Gene Expression,0.6129352025684921,0.0,0.0,2076,0.7317978766614054,751
ENSMUSG00000032554,Trf,Gene Expression,0.6122086408672698,0.0,0.0,15180,7.560106841395205,2522
ENSMUSG00000041773,Enc1,Gene Expression,0.6096313361978876,0.0,0.0,16175,4.779378172532257,2295
ENSMUSG00000029151,Slc30a3,Gene Expression,0.6085813264422368,0.0,0.0,5018,1.4231798486364016,1439
